name,month,pr_max,tas_max,day
Anhui,April,10.453002,284.82214,16
Anhui,April,10.453002,299.4544,16
Anhui,April,10.453002,277.3813,16
Anhui,April,10.453002,275.93506,15
Anhui,April,10.453002,272.4338,16
Anhui,April,10.453002,300.47678,16
Anhui,April,10.453002,297.9428,16
Anhui,April,10.453002,280.80023,16
Anhui,April,10.453002,290.5127,16
Anhui,April,10.453002,285.2441,16
Anhui,April,10.453002,290.11386,16
Anhui,April,10.453002,292.9052,16
Anhui,August,7.280239,284.82214,16
Anhui,August,7.280239,299.4544,16
Anhui,August,7.280239,277.3813,16
Anhui,August,7.280239,275.93506,15
Anhui,August,7.280239,272.4338,16
Anhui,August,7.280239,300.47678,16
Anhui,August,7.280239,297.9428,16
Anhui,August,7.280239,280.80023,16
Anhui,August,7.280239,290.5127,16
Anhui,August,7.280239,285.2441,16
Anhui,August,7.280239,290.11386,16
Anhui,August,7.280239,292.9052,16
Anhui,December,1.3681773,284.82214,16
Anhui,December,1.3681773,299.4544,16
Anhui,December,1.3681773,277.3813,16
Anhui,December,1.3681773,275.93506,15
Anhui,December,1.3681773,272.4338,16
Anhui,December,1.3681773,300.47678,16
Anhui,December,1.3681773,297.9428,16
Anhui,December,1.3681773,280.80023,16
Anhui,December,1.3681773,290.5127,16
Anhui,December,1.3681773,285.2441,16
Anhui,December,1.3681773,290.11386,16
Anhui,December,1.3681773,292.9052,16
Anhui,February,4.8872867,284.82214,16
Anhui,February,4.8872867,299.4544,16
Anhui,February,4.8872867,277.3813,16
Anhui,February,4.8872867,275.93506,15
Anhui,February,4.8872867,272.4338,16
Anhui,February,4.8872867,300.47678,16
Anhui,February,4.8872867,297.9428,16
Anhui,February,4.8872867,280.80023,16
Anhui,February,4.8872867,290.5127,16
Anhui,February,4.8872867,285.2441,16
Anhui,February,4.8872867,290.11386,16
Anhui,February,4.8872867,292.9052,16
Anhui,January,0.9962103,284.82214,16
Anhui,January,0.9962103,299.4544,16
Anhui,January,0.9962103,277.3813,16
Anhui,January,0.9962103,275.93506,15
Anhui,January,0.9962103,272.4338,16
Anhui,January,0.9962103,300.47678,16
Anhui,January,0.9962103,297.9428,16
Anhui,January,0.9962103,280.80023,16
Anhui,January,0.9962103,290.5127,16
Anhui,January,0.9962103,285.2441,16
Anhui,January,0.9962103,290.11386,16
Anhui,January,0.9962103,292.9052,16
Anhui,July,5.8446803,284.82214,16
Anhui,July,5.8446803,299.4544,16
Anhui,July,5.8446803,277.3813,16
Anhui,July,5.8446803,275.93506,15
Anhui,July,5.8446803,272.4338,16
Anhui,July,5.8446803,300.47678,16
Anhui,July,5.8446803,297.9428,16
Anhui,July,5.8446803,280.80023,16
Anhui,July,5.8446803,290.5127,16
Anhui,July,5.8446803,285.2441,16
Anhui,July,5.8446803,290.11386,16
Anhui,July,5.8446803,292.9052,16
Anhui,June,5.055658,284.82214,16
Anhui,June,5.055658,299.4544,16
Anhui,June,5.055658,277.3813,16
Anhui,June,5.055658,275.93506,15
Anhui,June,5.055658,272.4338,16
Anhui,June,5.055658,300.47678,16
Anhui,June,5.055658,297.9428,16
Anhui,June,5.055658,280.80023,16
Anhui,June,5.055658,290.5127,16
Anhui,June,5.055658,285.2441,16
Anhui,June,5.055658,290.11386,16
Anhui,June,5.055658,292.9052,16
Anhui,March,7.483668,284.82214,16
Anhui,March,7.483668,299.4544,16
Anhui,March,7.483668,277.3813,16
Anhui,March,7.483668,275.93506,15
Anhui,March,7.483668,272.4338,16
Anhui,March,7.483668,300.47678,16
Anhui,March,7.483668,297.9428,16
Anhui,March,7.483668,280.80023,16
Anhui,March,7.483668,290.5127,16
Anhui,March,7.483668,285.2441,16
Anhui,March,7.483668,290.11386,16
Anhui,March,7.483668,292.9052,16
Anhui,May,11.957413,284.82214,16
Anhui,May,11.957413,299.4544,16
Anhui,May,11.957413,277.3813,16
Anhui,May,11.957413,275.93506,15
Anhui,May,11.957413,272.4338,16
Anhui,May,11.957413,300.47678,16
Anhui,May,11.957413,297.9428,16
Anhui,May,11.957413,280.80023,16
Anhui,May,11.957413,290.5127,16
Anhui,May,11.957413,285.2441,16
Anhui,May,11.957413,290.11386,16
Anhui,May,11.957413,292.9052,16
Anhui,November,4.167222,284.82214,16
Anhui,November,4.167222,299.4544,16
Anhui,November,4.167222,277.3813,16
Anhui,November,4.167222,275.93506,15
Anhui,November,4.167222,272.4338,16
Anhui,November,4.167222,300.47678,16
Anhui,November,4.167222,297.9428,16
Anhui,November,4.167222,280.80023,16
Anhui,November,4.167222,290.5127,16
Anhui,November,4.167222,285.2441,16
Anhui,November,4.167222,290.11386,16
Anhui,November,4.167222,292.9052,16
Anhui,October,3.017188,284.82214,16
Anhui,October,3.017188,299.4544,16
Anhui,October,3.017188,277.3813,16
Anhui,October,3.017188,275.93506,15
Anhui,October,3.017188,272.4338,16
Anhui,October,3.017188,300.47678,16
Anhui,October,3.017188,297.9428,16
Anhui,October,3.017188,280.80023,16
Anhui,October,3.017188,290.5127,16
Anhui,October,3.017188,285.2441,16
Anhui,October,3.017188,290.11386,16
Anhui,October,3.017188,292.9052,16
Anhui,September,1.1093187,284.82214,16
Anhui,September,1.1093187,299.4544,16
Anhui,September,1.1093187,277.3813,16
Anhui,September,1.1093187,275.93506,15
Anhui,September,1.1093187,272.4338,16
Anhui,September,1.1093187,300.47678,16
Anhui,September,1.1093187,297.9428,16
Anhui,September,1.1093187,280.80023,16
Anhui,September,1.1093187,290.5127,16
Anhui,September,1.1093187,285.2441,16
Anhui,September,1.1093187,290.11386,16
Anhui,September,1.1093187,292.9052,16
Chongqing,,,287.3023,16
Chongqing,,,300.11197,16
Chongqing,,,277.22946,16
Chongqing,,,278.77155,15
Chongqing,,,275.30814,16
Chongqing,,,302.53372,16
Chongqing,,,297.79608,16
Chongqing,,,284.07126,16
Chongqing,,,292.7459,16
Chongqing,,,285.68365,16
Chongqing,,,291.13824,16
Chongqing,,,294.98245,16
Hubei,April,7.493876,285.7019,16
Hubei,April,7.493876,299.37894,16
Hubei,April,7.493876,277.28302,16
Hubei,April,7.493876,275.9181,15
Hubei,April,7.493876,273.13394,16
Hubei,April,7.493876,300.96927,16
Hubei,April,7.493876,297.86743,16
Hubei,April,7.493876,282.31693,16
Hubei,April,7.493876,289.82214,16
Hubei,April,7.493876,283.8319,16
Hubei,April,7.493876,289.6805,16
Hubei,April,7.493876,293.60306,16
Hubei,August,6.225026,285.7019,16
Hubei,August,6.225026,299.37894,16
Hubei,August,6.225026,277.28302,16
Hubei,August,6.225026,275.9181,15
Hubei,August,6.225026,273.13394,16
Hubei,August,6.225026,300.96927,16
Hubei,August,6.225026,297.86743,16
Hubei,August,6.225026,282.31693,16
Hubei,August,6.225026,289.82214,16
Hubei,August,6.225026,283.8319,16
Hubei,August,6.225026,289.6805,16
Hubei,August,6.225026,293.60306,16
Hubei,December,0.45209098,285.7019,16
Hubei,December,0.45209098,299.37894,16
Hubei,December,0.45209098,277.28302,16
Hubei,December,0.45209098,275.9181,15
Hubei,December,0.45209098,273.13394,16
Hubei,December,0.45209098,300.96927,16
Hubei,December,0.45209098,297.86743,16
Hubei,December,0.45209098,282.31693,16
Hubei,December,0.45209098,289.82214,16
Hubei,December,0.45209098,283.8319,16
Hubei,December,0.45209098,289.6805,16
Hubei,December,0.45209098,293.60306,16
Hubei,February,4.224004,285.7019,16
Hubei,February,4.224004,299.37894,16
Hubei,February,4.224004,277.28302,16
Hubei,February,4.224004,275.9181,15
Hubei,February,4.224004,273.13394,16
Hubei,February,4.224004,300.96927,16
Hubei,February,4.224004,297.86743,16
Hubei,February,4.224004,282.31693,16
Hubei,February,4.224004,289.82214,16
Hubei,February,4.224004,283.8319,16
Hubei,February,4.224004,289.6805,16
Hubei,February,4.224004,293.60306,16
Hubei,January,1.3418885,285.7019,16
Hubei,January,1.3418885,299.37894,16
Hubei,January,1.3418885,277.28302,16
Hubei,January,1.3418885,275.9181,15
Hubei,January,1.3418885,273.13394,16
Hubei,January,1.3418885,300.96927,16
Hubei,January,1.3418885,297.86743,16
Hubei,January,1.3418885,282.31693,16
Hubei,January,1.3418885,289.82214,16
Hubei,January,1.3418885,283.8319,16
Hubei,January,1.3418885,289.6805,16
Hubei,January,1.3418885,293.60306,16
Hubei,July,3.6133683,285.7019,16
Hubei,July,3.6133683,299.37894,16
Hubei,July,3.6133683,277.28302,16
Hubei,July,3.6133683,275.9181,15
Hubei,July,3.6133683,273.13394,16
Hubei,July,3.6133683,300.96927,16
Hubei,July,3.6133683,297.86743,16
Hubei,July,3.6133683,282.31693,16
Hubei,July,3.6133683,289.82214,16
Hubei,July,3.6133683,283.8319,16
Hubei,July,3.6133683,289.6805,16
Hubei,July,3.6133683,293.60306,16
Hubei,June,3.5925248,285.7019,16
Hubei,June,3.5925248,299.37894,16
Hubei,June,3.5925248,277.28302,16
Hubei,June,3.5925248,275.9181,15
Hubei,June,3.5925248,273.13394,16
Hubei,June,3.5925248,300.96927,16
Hubei,June,3.5925248,297.86743,16
Hubei,June,3.5925248,282.31693,16
Hubei,June,3.5925248,289.82214,16
Hubei,June,3.5925248,283.8319,16
Hubei,June,3.5925248,289.6805,16
Hubei,June,3.5925248,293.60306,16
Hubei,March,5.3464913,285.7019,16
Hubei,March,5.3464913,299.37894,16
Hubei,March,5.3464913,277.28302,16
Hubei,March,5.3464913,275.9181,15
Hubei,March,5.3464913,273.13394,16
Hubei,March,5.3464913,300.96927,16
Hubei,March,5.3464913,297.86743,16
Hubei,March,5.3464913,282.31693,16
Hubei,March,5.3464913,289.82214,16
Hubei,March,5.3464913,283.8319,16
Hubei,March,5.3464913,289.6805,16
Hubei,March,5.3464913,293.60306,16
Hubei,May,13.177361,285.7019,16
Hubei,May,13.177361,299.37894,16
Hubei,May,13.177361,277.28302,16
Hubei,May,13.177361,275.9181,15
Hubei,May,13.177361,273.13394,16
Hubei,May,13.177361,300.96927,16
Hubei,May,13.177361,297.86743,16
Hubei,May,13.177361,282.31693,16
Hubei,May,13.177361,289.82214,16
Hubei,May,13.177361,283.8319,16
Hubei,May,13.177361,289.6805,16
Hubei,May,13.177361,293.60306,16
Hubei,November,2.8556325,285.7019,16
Hubei,November,2.8556325,299.37894,16
Hubei,November,2.8556325,277.28302,16
Hubei,November,2.8556325,275.9181,15
Hubei,November,2.8556325,273.13394,16
Hubei,November,2.8556325,300.96927,16
Hubei,November,2.8556325,297.86743,16
Hubei,November,2.8556325,282.31693,16
Hubei,November,2.8556325,289.82214,16
Hubei,November,2.8556325,283.8319,16
Hubei,November,2.8556325,289.6805,16
Hubei,November,2.8556325,293.60306,16
Hubei,October,3.6038175,285.7019,16
Hubei,October,3.6038175,299.37894,16
Hubei,October,3.6038175,277.28302,16
Hubei,October,3.6038175,275.9181,15
Hubei,October,3.6038175,273.13394,16
Hubei,October,3.6038175,300.96927,16
Hubei,October,3.6038175,297.86743,16
Hubei,October,3.6038175,282.31693,16
Hubei,October,3.6038175,289.82214,16
Hubei,October,3.6038175,283.8319,16
Hubei,October,3.6038175,289.6805,16
Hubei,October,3.6038175,293.60306,16
Hubei,September,2.8929641,285.7019,16
Hubei,September,2.8929641,299.37894,16
Hubei,September,2.8929641,277.28302,16
Hubei,September,2.8929641,275.9181,15
Hubei,September,2.8929641,273.13394,16
Hubei,September,2.8929641,300.96927,16
Hubei,September,2.8929641,297.86743,16
Hubei,September,2.8929641,282.31693,16
Hubei,September,2.8929641,289.82214,16
Hubei,September,2.8929641,283.8319,16
Hubei,September,2.8929641,289.6805,16
Hubei,September,2.8929641,293.60306,16
Hunan,April,9.935178,287.5192,16
Hunan,April,9.935178,299.27258,16
Hunan,April,9.935178,278.23114,16
Hunan,April,9.935178,278.27985,15
Hunan,April,9.935178,274.2917,16
Hunan,April,9.935178,300.6844,16
Hunan,April,9.935178,297.48074,16
Hunan,April,9.935178,285.22534,16
Hunan,April,9.935178,293.6725,16
Hunan,April,9.935178,285.24518,16
Hunan,April,9.935178,290.72833,16
Hunan,April,9.935178,293.59656,16
Hunan,August,8.862945,287.5192,16
Hunan,August,8.862945,299.27258,16
Hunan,August,8.862945,278.23114,16
Hunan,August,8.862945,278.27985,15
Hunan,August,8.862945,274.2917,16
Hunan,August,8.862945,300.6844,16
Hunan,August,8.862945,297.48074,16
Hunan,August,8.862945,285.22534,16
Hunan,August,8.862945,293.6725,16
Hunan,August,8.862945,285.24518,16
Hunan,August,8.862945,290.72833,16
Hunan,August,8.862945,293.59656,16
Hunan,December,1.7755153,287.5192,16
Hunan,December,1.7755153,299.27258,16
Hunan,December,1.7755153,278.23114,16
Hunan,December,1.7755153,278.27985,15
Hunan,December,1.7755153,274.2917,16
Hunan,December,1.7755153,300.6844,16
Hunan,December,1.7755153,297.48074,16
Hunan,December,1.7755153,285.22534,16
Hunan,December,1.7755153,293.6725,16
Hunan,December,1.7755153,285.24518,16
Hunan,December,1.7755153,290.72833,16
Hunan,December,1.7755153,293.59656,16
Hunan,February,4.8734455,287.5192,16
Hunan,February,4.8734455,299.27258,16
Hunan,February,4.8734455,278.23114,16
Hunan,February,4.8734455,278.27985,15
Hunan,February,4.8734455,274.2917,16
Hunan,February,4.8734455,300.6844,16
Hunan,February,4.8734455,297.48074,16
Hunan,February,4.8734455,285.22534,16
Hunan,February,4.8734455,293.6725,16
Hunan,February,4.8734455,285.24518,16
Hunan,February,4.8734455,290.72833,16
Hunan,February,4.8734455,293.59656,16
Hunan,January,1.4526097,287.5192,16
Hunan,January,1.4526097,299.27258,16
Hunan,January,1.4526097,278.23114,16
Hunan,January,1.4526097,278.27985,15
Hunan,January,1.4526097,274.2917,16
Hunan,January,1.4526097,300.6844,16
Hunan,January,1.4526097,297.48074,16
Hunan,January,1.4526097,285.22534,16
Hunan,January,1.4526097,293.6725,16
Hunan,January,1.4526097,285.24518,16
Hunan,January,1.4526097,290.72833,16
Hunan,January,1.4526097,293.59656,16
Hunan,July,3.619183,287.5192,16
Hunan,July,3.619183,299.27258,16
Hunan,July,3.619183,278.23114,16
Hunan,July,3.619183,278.27985,15
Hunan,July,3.619183,274.2917,16
Hunan,July,3.619183,300.6844,16
Hunan,July,3.619183,297.48074,16
Hunan,July,3.619183,285.22534,16
Hunan,July,3.619183,293.6725,16
Hunan,July,3.619183,285.24518,16
Hunan,July,3.619183,290.72833,16
Hunan,July,3.619183,293.59656,16
Hunan,June,10.62516,287.5192,16
Hunan,June,10.62516,299.27258,16
Hunan,June,10.62516,278.23114,16
Hunan,June,10.62516,278.27985,15
Hunan,June,10.62516,274.2917,16
Hunan,June,10.62516,300.6844,16
Hunan,June,10.62516,297.48074,16
Hunan,June,10.62516,285.22534,16
Hunan,June,10.62516,293.6725,16
Hunan,June,10.62516,285.24518,16
Hunan,June,10.62516,290.72833,16
Hunan,June,10.62516,293.59656,16
Hunan,March,5.0592003,287.5192,16
Hunan,March,5.0592003,299.27258,16
Hunan,March,5.0592003,278.23114,16
Hunan,March,5.0592003,278.27985,15
Hunan,March,5.0592003,274.2917,16
Hunan,March,5.0592003,300.6844,16
Hunan,March,5.0592003,297.48074,16
Hunan,March,5.0592003,285.22534,16
Hunan,March,5.0592003,293.6725,16
Hunan,March,5.0592003,285.24518,16
Hunan,March,5.0592003,290.72833,16
Hunan,March,5.0592003,293.59656,16
Hunan,May,14.795588,287.5192,16
Hunan,May,14.795588,299.27258,16
Hunan,May,14.795588,278.23114,16
Hunan,May,14.795588,278.27985,15
Hunan,May,14.795588,274.2917,16
Hunan,May,14.795588,300.6844,16
Hunan,May,14.795588,297.48074,16
Hunan,May,14.795588,285.22534,16
Hunan,May,14.795588,293.6725,16
Hunan,May,14.795588,285.24518,16
Hunan,May,14.795588,290.72833,16
Hunan,May,14.795588,293.59656,16
Hunan,November,3.432719,287.5192,16
Hunan,November,3.432719,299.27258,16
Hunan,November,3.432719,278.23114,16
Hunan,November,3.432719,278.27985,15
Hunan,November,3.432719,274.2917,16
Hunan,November,3.432719,300.6844,16
Hunan,November,3.432719,297.48074,16
Hunan,November,3.432719,285.22534,16
Hunan,November,3.432719,293.6725,16
Hunan,November,3.432719,285.24518,16
Hunan,November,3.432719,290.72833,16
Hunan,November,3.432719,293.59656,16
Hunan,October,3.7512345,287.5192,16
Hunan,October,3.7512345,299.27258,16
Hunan,October,3.7512345,278.23114,16
Hunan,October,3.7512345,278.27985,15
Hunan,October,3.7512345,274.2917,16
Hunan,October,3.7512345,300.6844,16
Hunan,October,3.7512345,297.48074,16
Hunan,October,3.7512345,285.22534,16
Hunan,October,3.7512345,293.6725,16
Hunan,October,3.7512345,285.24518,16
Hunan,October,3.7512345,290.72833,16
Hunan,October,3.7512345,293.59656,16
Hunan,September,1.4860456,287.5192,16
Hunan,September,1.4860456,299.27258,16
Hunan,September,1.4860456,278.23114,16
Hunan,September,1.4860456,278.27985,15
Hunan,September,1.4860456,274.2917,16
Hunan,September,1.4860456,300.6844,16
Hunan,September,1.4860456,297.48074,16
Hunan,September,1.4860456,285.22534,16
Hunan,September,1.4860456,293.6725,16
Hunan,September,1.4860456,285.24518,16
Hunan,September,1.4860456,290.72833,16
Hunan,September,1.4860456,293.59656,16
Jiangsu,April,5.860438,285.48044,16
Jiangsu,April,5.860438,299.14883,16
Jiangsu,April,5.860438,278.02176,16
Jiangsu,April,5.860438,275.55856,15
Jiangsu,April,5.860438,272.6115,16
Jiangsu,April,5.860438,299.93222,16
Jiangsu,April,5.860438,297.80356,16
Jiangsu,April,5.860438,280.48,16
Jiangsu,April,5.860438,291.8321,16
Jiangsu,April,5.860438,286.0586,16
Jiangsu,April,5.860438,290.2926,16
Jiangsu,April,5.860438,293.3612,16
Jiangsu,August,7.4781613,285.48044,16
Jiangsu,August,7.4781613,299.14883,16
Jiangsu,August,7.4781613,278.02176,16
Jiangsu,August,7.4781613,275.55856,15
Jiangsu,August,7.4781613,272.6115,16
Jiangsu,August,7.4781613,299.93222,16
Jiangsu,August,7.4781613,297.80356,16
Jiangsu,August,7.4781613,280.48,16
Jiangsu,August,7.4781613,291.8321,16
Jiangsu,August,7.4781613,286.0586,16
Jiangsu,August,7.4781613,290.2926,16
Jiangsu,August,7.4781613,293.3612,16
Jiangsu,December,1.1816311,285.48044,16
Jiangsu,December,1.1816311,299.14883,16
Jiangsu,December,1.1816311,278.02176,16
Jiangsu,December,1.1816311,275.55856,15
Jiangsu,December,1.1816311,272.6115,16
Jiangsu,December,1.1816311,299.93222,16
Jiangsu,December,1.1816311,297.80356,16
Jiangsu,December,1.1816311,280.48,16
Jiangsu,December,1.1816311,291.8321,16
Jiangsu,December,1.1816311,286.0586,16
Jiangsu,December,1.1816311,290.2926,16
Jiangsu,December,1.1816311,293.3612,16
Jiangsu,February,3.9062247,285.48044,16
Jiangsu,February,3.9062247,299.14883,16
Jiangsu,February,3.9062247,278.02176,16
Jiangsu,February,3.9062247,275.55856,15
Jiangsu,February,3.9062247,272.6115,16
Jiangsu,February,3.9062247,299.93222,16
Jiangsu,February,3.9062247,297.80356,16
Jiangsu,February,3.9062247,280.48,16
Jiangsu,February,3.9062247,291.8321,16
Jiangsu,February,3.9062247,286.0586,16
Jiangsu,February,3.9062247,290.2926,16
Jiangsu,February,3.9062247,293.3612,16
Jiangsu,January,0.66863793,285.48044,16
Jiangsu,January,0.66863793,299.14883,16
Jiangsu,January,0.66863793,278.02176,16
Jiangsu,January,0.66863793,275.55856,15
Jiangsu,January,0.66863793,272.6115,16
Jiangsu,January,0.66863793,299.93222,16
Jiangsu,January,0.66863793,297.80356,16
Jiangsu,January,0.66863793,280.48,16
Jiangsu,January,0.66863793,291.8321,16
Jiangsu,January,0.66863793,286.0586,16
Jiangsu,January,0.66863793,290.2926,16
Jiangsu,January,0.66863793,293.3612,16
Jiangsu,July,5.8439436,285.48044,16
Jiangsu,July,5.8439436,299.14883,16
Jiangsu,July,5.8439436,278.02176,16
Jiangsu,July,5.8439436,275.55856,15
Jiangsu,July,5.8439436,272.6115,16
Jiangsu,July,5.8439436,299.93222,16
Jiangsu,July,5.8439436,297.80356,16
Jiangsu,July,5.8439436,280.48,16
Jiangsu,July,5.8439436,291.8321,16
Jiangsu,July,5.8439436,286.0586,16
Jiangsu,July,5.8439436,290.2926,16
Jiangsu,July,5.8439436,293.3612,16
Jiangsu,June,4.2385354,285.48044,16
Jiangsu,June,4.2385354,299.14883,16
Jiangsu,June,4.2385354,278.02176,16
Jiangsu,June,4.2385354,275.55856,15
Jiangsu,June,4.2385354,272.6115,16
Jiangsu,June,4.2385354,299.93222,16
Jiangsu,June,4.2385354,297.80356,16
Jiangsu,June,4.2385354,280.48,16
Jiangsu,June,4.2385354,291.8321,16
Jiangsu,June,4.2385354,286.0586,16
Jiangsu,June,4.2385354,290.2926,16
Jiangsu,June,4.2385354,293.3612,16
Jiangsu,March,5.253693,285.48044,16
Jiangsu,March,5.253693,299.14883,16
Jiangsu,March,5.253693,278.02176,16
Jiangsu,March,5.253693,275.55856,15
Jiangsu,March,5.253693,272.6115,16
Jiangsu,March,5.253693,299.93222,16
Jiangsu,March,5.253693,297.80356,16
Jiangsu,March,5.253693,280.48,16
Jiangsu,March,5.253693,291.8321,16
Jiangsu,March,5.253693,286.0586,16
Jiangsu,March,5.253693,290.2926,16
Jiangsu,March,5.253693,293.3612,16
Jiangsu,May,7.960109,285.48044,16
Jiangsu,May,7.960109,299.14883,16
Jiangsu,May,7.960109,278.02176,16
Jiangsu,May,7.960109,275.55856,15
Jiangsu,May,7.960109,272.6115,16
Jiangsu,May,7.960109,299.93222,16
Jiangsu,May,7.960109,297.80356,16
Jiangsu,May,7.960109,280.48,16
Jiangsu,May,7.960109,291.8321,16
Jiangsu,May,7.960109,286.0586,16
Jiangsu,May,7.960109,290.2926,16
Jiangsu,May,7.960109,293.3612,16
Jiangsu,November,4.4686823,285.48044,16
Jiangsu,November,4.4686823,299.14883,16
Jiangsu,November,4.4686823,278.02176,16
Jiangsu,November,4.4686823,275.55856,15
Jiangsu,November,4.4686823,272.6115,16
Jiangsu,November,4.4686823,299.93222,16
Jiangsu,November,4.4686823,297.80356,16
Jiangsu,November,4.4686823,280.48,16
Jiangsu,November,4.4686823,291.8321,16
Jiangsu,November,4.4686823,286.0586,16
Jiangsu,November,4.4686823,290.2926,16
Jiangsu,November,4.4686823,293.3612,16
Jiangsu,October,2.7719316,285.48044,16
Jiangsu,October,2.7719316,299.14883,16
Jiangsu,October,2.7719316,278.02176,16
Jiangsu,October,2.7719316,275.55856,15
Jiangsu,October,2.7719316,272.6115,16
Jiangsu,October,2.7719316,299.93222,16
Jiangsu,October,2.7719316,297.80356,16
Jiangsu,October,2.7719316,280.48,16
Jiangsu,October,2.7719316,291.8321,16
Jiangsu,October,2.7719316,286.0586,16
Jiangsu,October,2.7719316,290.2926,16
Jiangsu,October,2.7719316,293.3612,16
Jiangsu,September,1.6935483,285.48044,16
Jiangsu,September,1.6935483,299.14883,16
Jiangsu,September,1.6935483,278.02176,16
Jiangsu,September,1.6935483,275.55856,15
Jiangsu,September,1.6935483,272.6115,16
Jiangsu,September,1.6935483,299.93222,16
Jiangsu,September,1.6935483,297.80356,16
Jiangsu,September,1.6935483,280.48,16
Jiangsu,September,1.6935483,291.8321,16
Jiangsu,September,1.6935483,286.0586,16
Jiangsu,September,1.6935483,290.2926,16
Jiangsu,September,1.6935483,293.3612,16
Jiangxi,,,288.4512,16
Jiangxi,,,299.8336,16
Jiangxi,,,279.70242,16
Jiangxi,,,280.07382,15
Jiangxi,,,274.8546,16
Jiangxi,,,300.52795,16
Jiangxi,,,296.88376,16
Jiangxi,,,286.06204,16
Jiangxi,,,294.35825,16
Jiangxi,,,286.96622,16
Jiangxi,,,291.53732,16
Jiangxi,,,294.31937,16
Sichuan,,,288.56247,16
Sichuan,,,300.39874,16
Sichuan,,,277.54825,16
Sichuan,,,278.57266,15
Sichuan,,,276.6575,16
Sichuan,,,302.49362,16
Sichuan,,,298.53638,16
Sichuan,,,283.87207,16
Sichuan,,,293.14386,16
Sichuan,,,284.96878,16
Sichuan,,,290.49203,16
Sichuan,,,294.4914,16
Zhejiang,,,285.7953,16
Zhejiang,,,299.12045,16
Zhejiang,,,281.92957,16
Zhejiang,,,279.57953,15
Zhejiang,,,276.04504,16
Zhejiang,,,298.52396,16
Zhejiang,,,295.2334,16
Zhejiang,,,283.11282,16
Zhejiang,,,290.4735,16
Zhejiang,,,289.3929,16
Zhejiang,,,292.27188,16
Zhejiang,,,294.66635,16
