name,month,day,pr,pr,pr
,,,sum,mean,max
Anhui,April,16,100.871155,4.5850525,10.453002
Anhui,August,16,75.83407,3.4470031,7.280239
Anhui,December,16,11.997292,0.5453314,1.3681773
Anhui,February,15,53.032253,2.410557,4.8872867
Anhui,January,16,9.599905,0.43635932,0.9962103
Anhui,July,16,101.636955,4.6198616,5.8446803
Anhui,June,16,73.09329,3.3224223,5.055658
Anhui,March,16,81.03973,3.683624,7.483668
Anhui,May,16,141.8596,6.448164,11.957413
Anhui,November,16,58.333588,2.6515267,4.167222
Anhui,October,16,42.838055,1.9471843,3.017188
Anhui,September,16,11.398584,0.5181175,1.1093187
Beijing,April,16,1.8675447,0.9337723,0.9337723
Beijing,August,16,7.048379,3.5241895,3.5241895
Beijing,December,16,0.034012668,0.017006334,0.017006334
Beijing,February,15,0.004382856,0.002191428,0.002191428
Beijing,January,16,0.0011983574,0.0005991787,0.0005991787
Beijing,July,16,25.608942,12.804471,12.804471
Beijing,June,16,10.8967085,5.4483542,5.4483542
Beijing,March,16,2.8585784,1.4292892,1.4292892
Beijing,May,16,0.23692329,0.118461646,0.118461646
Beijing,November,16,0.45376092,0.22688046,0.22688046
Beijing,October,16,0.9102118,0.4551059,0.4551059
Beijing,September,16,4.0411253,2.0205626,2.0205626
Chongqing,April,16,24.498463,2.4498463,3.402579
Chongqing,August,16,36.849586,3.6849587,4.8309565
Chongqing,December,16,5.157738,0.51577383,0.6845729
Chongqing,February,15,12.303608,1.2303607,2.1281297
Chongqing,January,16,9.595401,0.95954007,1.2479279
Chongqing,July,16,11.2125635,1.1212564,2.0869992
Chongqing,June,16,29.048168,2.9048169,3.635846
Chongqing,March,16,24.150509,2.415051,2.9769506
Chongqing,May,16,55.881268,5.5881267,9.378962
Chongqing,November,16,20.565638,2.0565639,2.5610118
Chongqing,October,16,12.767843,1.2767843,1.8001064
Chongqing,September,16,20.944603,2.0944602,2.9428291
Fujian,April,16,153.36086,7.6680427,10.875129
Fujian,August,16,231.10033,11.5550165,18.449444
Fujian,December,16,55.357227,2.7678614,3.8596075
Fujian,February,15,60.818756,3.040938,4.367789
Fujian,January,16,28.423378,1.4211689,2.080404
Fujian,July,16,79.49592,3.9747958,5.0747585
Fujian,June,16,230.73904,11.536952,13.687038
Fujian,March,16,65.614006,3.2807002,4.7585826
Fujian,May,16,73.64771,3.6823857,5.831072
Fujian,November,16,99.51954,4.975977,5.8071785
Fujian,October,16,17.736443,0.8868221,1.4099778
Fujian,September,16,21.424276,1.0712138,1.2657857
Gansu,April,16,82.36654,1.2479779,4.0228558
Gansu,August,16,152.22023,2.3063672,5.494472
Gansu,December,16,5.125941,0.07766577,0.3536317
Gansu,February,15,23.511635,0.3562369,1.7951614
Gansu,January,16,4.769168,0.07226012,0.36229497
Gansu,July,16,119.79035,1.8150053,3.4778595
Gansu,June,16,145.22,2.200303,6.2402663
Gansu,March,16,55.688057,0.84375846,2.3714864
Gansu,May,16,70.29901,1.0651366,3.8861039
Gansu,November,16,53.53693,0.81116563,2.679397
Gansu,October,16,51.763134,0.7842899,2.1182828
Gansu,September,16,156.59497,2.372651,4.8418875
Guangdong,April,16,73.69385,3.6846924,5.4602866
Guangdong,August,16,234.05162,11.702581,20.379068
Guangdong,December,16,36.56689,1.8283446,2.4012341
Guangdong,February,15,38.985367,1.9492683,3.8587868
Guangdong,January,16,17.917929,0.89589643,1.430728
Guangdong,July,16,71.174034,3.5587018,4.515345
Guangdong,June,16,179.73439,8.986719,12.576572
Guangdong,March,16,39.629723,1.9814861,2.7515206
Guangdong,May,16,75.36065,3.7680326,5.167988
Guangdong,November,16,83.25467,4.1627336,5.6706643
Guangdong,October,16,17.510204,0.8755102,1.7262946
Guangdong,September,16,43.03881,2.1519406,3.3755114
Guangxi,April,16,103.01079,3.0297291,6.530171
Guangxi,August,16,143.21135,4.2120986,7.042254
Guangxi,December,16,28.19011,0.8291209,1.6316693
Guangxi,February,15,88.40085,2.600025,4.129625
Guangxi,January,16,27.241528,0.8012214,1.2225718
Guangxi,July,16,104.44011,3.0717678,4.0895014
Guangxi,June,16,269.76273,7.934198,10.335808
Guangxi,March,16,54.89357,1.6145167,3.246638
Guangxi,May,16,103.312325,3.0385978,5.98776
Guangxi,November,16,48.538086,1.4275907,2.8811316
Guangxi,October,16,44.43429,1.306891,3.1314747
Guangxi,September,16,42.861507,1.2606325,1.9904649
Guizhou,April,16,98.86149,4.493704,5.4371185
Guizhou,August,16,80.35056,3.6522982,6.278289
Guizhou,December,16,30.546175,1.3884625,2.0705066
Guizhou,February,15,60.024338,2.728379,3.792351
Guizhou,January,16,26.441833,1.2019016,1.802605
Guizhou,July,16,34.756943,1.579861,2.6652749
Guizhou,June,16,89.78511,4.0811415,6.9529195
Guizhou,March,16,51.705803,2.3502638,2.8240728
Guizhou,May,16,120.96625,5.498466,10.123815
Guizhou,November,16,29.936293,1.3607405,1.6330717
Guizhou,October,16,56.982033,2.5900924,3.98976
Guizhou,September,16,24.230358,1.1013799,1.55727
Hainan,April,16,4.112249,0.6853748,0.99531275
Hainan,August,16,37.411003,6.235167,7.1553583
Hainan,December,16,5.185983,0.86433053,1.0494672
Hainan,February,15,2.3847692,0.39746153,0.5449336
Hainan,January,16,3.4546566,0.5757761,0.8100676
Hainan,July,16,29.07642,4.84607,5.467348
Hainan,June,16,71.99321,11.998868,14.329741
Hainan,March,16,2.9620013,0.4936669,0.7019152
Hainan,May,16,16.383709,2.7306182,3.6957042
Hainan,November,16,5.5922804,0.9320467,1.3809038
Hainan,October,16,5.6432624,0.9405437,1.0637442
Hainan,September,16,33.022186,5.503698,6.216978
Hebei,April,16,17.36088,0.5425275,1.0708061
Hebei,August,16,110.103584,3.440737,5.178652
Hebei,December,16,3.4409146,0.10752858,0.35512286
Hebei,February,15,0.37244746,0.011638983,0.033440243
Hebei,January,16,0.11303748,0.0035324213,0.019721387
Hebei,July,16,290.0096,9.0628,13.230077
Hebei,June,16,123.67985,3.8649952,7.215119
Hebei,March,16,26.012184,0.81288075,1.2640513
Hebei,May,16,5.591771,0.17474285,0.50367594
Hebei,November,16,7.219929,0.22562279,0.70846385
Hebei,October,16,19.754047,0.617314,1.7216839
Hebei,September,16,53.485973,1.6714367,3.8781488
Heilongjiang,April,16,239.59843,2.5489194,5.645772
Heilongjiang,August,16,323.93646,3.4461327,6.0676503
Heilongjiang,December,16,85.067314,0.9049714,2.7475748
Heilongjiang,February,15,45.675632,0.48591098,1.0959998
Heilongjiang,January,16,40.251965,0.42821237,1.541936
Heilongjiang,July,16,505.37726,5.3763537,7.9829187
Heilongjiang,June,16,371.88956,3.956272,8.410236
Heilongjiang,March,16,48.60563,0.51708114,1.6069582
Heilongjiang,May,16,214.3969,2.280818,4.115184
Heilongjiang,November,16,86.046165,0.9153847,1.7436042
Heilongjiang,October,16,103.18731,1.0977373,2.9332304
Heilongjiang,September,16,257.01834,2.7342377,4.906465
Henan,April,16,25.487715,1.0619881,2.1514604
Henan,August,16,33.011475,1.3754781,3.9688582
Henan,December,16,5.4587593,0.2274483,0.36705834
Henan,February,15,12.435158,0.51813155,1.155223
Henan,January,16,2.1148975,0.08812073,0.3053277
Henan,July,16,73.11438,3.0464325,5.176528
Henan,June,16,57.95982,2.4149926,3.6363046
Henan,March,16,30.53361,1.2722337,2.0701785
Henan,May,16,39.032337,1.6263474,4.180029
Henan,November,16,23.601183,0.98338264,1.3252842
Henan,October,16,50.344803,2.0977,3.1840146
Henan,September,16,41.818497,1.7424374,2.3604343
Hubei,April,16,128.56174,4.5914907,7.493876
Hubei,August,16,118.93836,4.2477984,6.225026
Hubei,December,16,5.546491,0.19808897,0.45209098
Hubei,February,15,74.4009,2.657175,4.224004
Hubei,January,16,24.660147,0.88071954,1.3418885
Hubei,July,16,73.344604,2.61945,3.6133683
Hubei,June,16,74.492935,2.660462,3.5925248
Hubei,March,16,113.9387,4.069239,5.3464913
Hubei,May,16,265.4238,9.479422,13.177361
Hubei,November,16,63.42099,2.2650354,2.8556325
Hubei,October,16,74.69715,2.6677554,3.6038175
Hubei,September,16,40.014973,1.4291061,2.8929641
Hunan,April,16,241.80814,7.5565042,9.935178
Hunan,August,16,125.35185,3.9172454,8.862945
Hunan,December,16,31.114544,0.9723295,1.7755153
Hunan,February,15,136.40224,4.26257,4.8734455
Hunan,January,16,40.256016,1.2580005,1.4526097
Hunan,July,16,73.49217,2.2966304,3.619183
Hunan,June,16,135.5817,4.236928,10.62516
Hunan,March,16,128.99612,4.031129,5.0592003
Hunan,May,16,272.8097,8.525303,14.795588
Hunan,November,16,84.042656,2.626333,3.432719
Hunan,October,16,84.82446,2.6507645,3.7512345
Hunan,September,16,33.760273,1.0550085,1.4860456
Inner Mongol,April,16,235.20366,1.1307868,3.399145
Inner Mongol,August,16,567.3318,2.7275567,6.1333127
Inner Mongol,December,16,10.462625,0.05030108,0.44055644
Inner Mongol,February,15,26.528515,0.12754093,0.51770127
Inner Mongol,January,16,17.74416,0.08530846,0.57016516
Inner Mongol,July,16,645.7314,3.104478,10.16299
Inner Mongol,June,16,702.9081,3.3793657,11.439623
Inner Mongol,March,16,119.43509,0.5742072,1.544394
Inner Mongol,May,16,191.92625,0.9227224,3.8289857
Inner Mongol,November,16,71.74499,0.34492782,1.5929029
Inner Mongol,October,16,81.99792,0.39422077,1.6231985
Inner Mongol,September,16,260.39807,1.2519138,3.7932284
Jiangsu,April,16,42.981064,2.6863165,5.860438
Jiangsu,August,16,81.767426,5.110464,7.4781613
Jiangsu,December,16,9.250931,0.5781832,1.1816311
Jiangsu,February,15,27.832878,1.7395549,3.9062247
Jiangsu,January,16,5.0821643,0.31763527,0.66863793
Jiangsu,July,16,73.68251,4.605157,5.8439436
Jiangsu,June,16,58.89453,3.6809082,4.2385354
Jiangsu,March,16,44.85351,2.8033445,5.253693
Jiangsu,May,16,55.85252,3.4907825,7.960109
Jiangsu,November,16,42.665066,2.6665666,4.4686823
Jiangsu,October,16,26.792295,1.6745185,2.7719316
Jiangsu,September,16,12.126846,0.7579279,1.6935483
Jiangxi,April,16,248.56293,9.560113,11.808637
Jiangxi,August,16,183.28757,7.049522,18.19606
Jiangxi,December,16,47.887714,1.8418351,2.8886216
Jiangxi,February,15,123.006935,4.731036,5.520622
Jiangxi,January,16,34.19406,1.3151562,1.5819939
Jiangxi,July,16,78.0191,3.0007346,4.0869613
Jiangxi,June,16,187.63626,7.216779,12.664233
Jiangxi,March,16,133.56728,5.1372027,7.0939302
Jiangxi,May,16,159.1835,6.1224422,10.75144
Jiangxi,November,16,93.35828,3.590703,6.030722
Jiangxi,October,16,32.978844,1.2684171,2.414084
Jiangxi,September,16,26.343506,1.0132117,1.4369992
Jilin,April,16,115.64672,3.401374,4.3743715
Jilin,August,16,113.167816,3.3284652,6.372753
Jilin,December,16,23.997139,0.7057982,1.6692055
Jilin,February,15,11.90757,0.35022265,0.5508415
Jilin,January,16,9.41045,0.27677795,0.6201583
Jilin,July,16,204.2589,6.0076146,8.546844
Jilin,June,16,141.45496,4.16044,5.45787
Jilin,March,16,49.74208,1.4630023,2.0763812
Jilin,May,16,81.06655,2.3843102,3.2586355
Jilin,November,16,24.603966,0.72364604,1.2438053
Jilin,October,16,65.286194,1.9201822,3.0657814
Jilin,September,16,41.393578,1.2174581,1.772231
Liaoning,April,16,41.214417,1.8733826,2.99363
Liaoning,August,16,95.97593,4.362542,8.263941
Liaoning,December,16,7.1701474,0.32591578,0.8168719
Liaoning,February,15,3.090463,0.14047559,0.326844
Liaoning,January,16,0.82749486,0.037613403,0.1513738
Liaoning,July,16,192.64613,8.756642,12.097835
Liaoning,June,16,77.23349,3.5106132,4.7618136
Liaoning,March,16,24.88079,1.1309451,1.5556633
Liaoning,May,16,33.41377,1.5188076,2.7821062
Liaoning,November,16,14.050914,0.6386779,1.4221882
Liaoning,October,16,32.506763,1.4775802,2.2550068
Liaoning,September,16,21.010979,0.9550445,1.2071521
Ningxia,April,16,2.4795752,0.41326252,0.7565985
Ningxia,August,16,18.741262,3.1235437,3.3956172
Ningxia,December,16,0.027806919,0.0046344865,0.0074782684
Ningxia,February,15,0.86870664,0.14478444,0.2727529
Ningxia,January,16,0.034961544,0.005826924,0.016070278
Ningxia,July,16,10.014757,1.6691262,1.8419762
Ningxia,June,16,9.237854,1.5396423,2.1018577
Ningxia,March,16,2.8194118,0.46990195,0.80797076
Ningxia,May,16,2.9081564,0.48469272,0.6544258
Ningxia,November,16,3.4760213,0.5793369,0.63622665
Ningxia,October,16,3.5485322,0.591422,0.7646625
Ningxia,September,16,13.240365,2.2067275,2.5753002
Qinghai,April,16,205.5259,1.8684173,4.889655
Qinghai,August,16,388.09366,3.528124,6.4759607
Qinghai,December,16,18.199776,0.16545251,0.5664067
Qinghai,February,15,38.017387,0.34561262,1.6096689
Qinghai,January,16,15.061503,0.13692276,0.7800184
Qinghai,July,16,357.1771,3.2470646,4.7234125
Qinghai,June,16,365.68915,3.324447,6.2384844
Qinghai,March,16,118.6623,1.0787482,2.769494
Qinghai,May,16,271.9161,2.4719646,6.6936016
Qinghai,November,16,55.32338,0.5029398,1.0410969
Qinghai,October,16,134.38248,1.2216588,2.5918086
Qinghai,September,16,356.66678,3.2424252,5.077364
Shaanxi,April,16,37.70947,1.1784209,2.1548684
Shaanxi,August,16,128.7236,4.0226126,6.4052744
Shaanxi,December,16,4.9953437,0.15610449,0.32334694
Shaanxi,February,15,15.059528,0.47061026,0.9484678
Shaanxi,January,16,3.135752,0.09799225,0.5174117
Shaanxi,July,16,45.04052,1.4075162,2.6906896
Shaanxi,June,16,77.38299,2.4182184,3.9221604
Shaanxi,March,16,38.43764,1.2011763,2.026418
Shaanxi,May,16,42.420464,1.3256395,3.4545908
Shaanxi,November,16,38.94162,1.2169256,2.16167
Shaanxi,October,16,44.65954,1.3956106,1.9214284
Shaanxi,September,16,87.65466,2.7392082,4.2244463
Shandong,April,16,10.417215,0.40066212,0.8686418
Shandong,August,16,109.70462,4.2194085,8.651854
Shandong,December,16,17.101583,0.6577532,0.99011797
Shandong,February,15,1.1081187,0.042619947,0.19810025
Shandong,January,16,0.19251512,0.0074044275,0.04702313
Shandong,July,16,127.46237,4.902399,6.774815
Shandong,June,16,56.859024,2.1868856,3.2913542
Shandong,March,16,10.118843,0.38918626,0.698442
Shandong,May,16,5.6143336,0.21593592,0.69061494
Shandong,November,16,35.84711,1.3787351,1.7536625
Shandong,October,16,38.910297,1.4965498,2.4786866
Shandong,September,16,25.186405,0.9687079,1.6381713
Shanxi,April,16,10.951302,0.4212039,0.85110605
Shanxi,August,16,66.92797,2.5741527,5.7583795
Shanxi,December,16,3.3471322,0.12873586,0.24677794
Shanxi,February,15,2.8356903,0.10906501,0.25471875
Shanxi,January,16,0.15835522,0.0060905856,0.039921917
Shanxi,July,16,101.307724,3.896451,9.91617
Shanxi,June,16,45.18408,1.7378491,3.0842738
Shanxi,March,16,14.928948,0.5741903,0.9497374
Shanxi,May,16,5.441396,0.20928447,0.4099299
Shanxi,November,16,13.973665,0.53744864,0.97288936
Shanxi,October,16,28.90308,1.1116569,2.0334105
Shanxi,September,16,61.42041,2.3623235,3.7684944
Sichuan,April,16,269.4438,3.3680472,6.220592
Sichuan,August,16,510.62323,6.3827906,10.352175
Sichuan,December,16,61.600723,0.77000904,3.245721
Sichuan,February,15,103.38519,1.2923149,4.8508954
Sichuan,January,16,66.55029,0.83187866,2.9772117
Sichuan,July,16,354.56824,4.432103,9.662381
Sichuan,June,16,504.12213,6.3015265,15.761097
Sichuan,March,16,224.44107,2.8055134,6.2380753
Sichuan,May,16,375.02417,4.6878023,8.35572
Sichuan,November,16,122.0396,1.5254949,4.3102674
Sichuan,October,16,184.37961,2.3047452,4.7242804
Sichuan,September,16,339.6458,4.2455726,6.8417373
Tianjin,April,16,0.89124614,0.44562307,0.44562307
Tianjin,August,16,8.09289,4.046445,4.046445
Tianjin,December,16,0.2008696,0.1004348,0.1004348
Tianjin,February,15,0.008085608,0.004042804,0.004042804
Tianjin,January,16,4.896907e-05,2.4484534e-05,2.4484534e-05
Tianjin,July,16,23.450132,11.725066,11.725066
Tianjin,June,16,6.525341,3.2626705,3.2626705
Tianjin,March,16,1.9115981,0.95579904,0.95579904
Tianjin,May,16,0.13252181,0.066260904,0.066260904
Tianjin,November,16,0.2882271,0.14411356,0.14411356
Tianjin,October,16,0.6220952,0.3110476,0.3110476
Tianjin,September,16,2.507224,1.253612,1.253612
Xinjiang,April,16,246.9566,0.8634846,2.938116
Xinjiang,August,16,108.79184,0.38039106,3.0040634
Xinjiang,December,16,65.03345,0.22738968,1.7372204
Xinjiang,February,15,74.230965,0.2595488,1.4520198
Xinjiang,January,16,19.667282,0.06876672,0.53285086
Xinjiang,July,16,238.81813,0.8350284,4.040695
Xinjiang,June,16,299.95746,1.0488023,3.7947814
Xinjiang,March,16,180.2032,0.6300811,2.2678795
Xinjiang,May,16,215.93004,0.7550001,4.6175795
Xinjiang,November,16,143.82808,0.50289536,2.841112
Xinjiang,October,16,162.87782,0.5695029,2.2934332
Xinjiang,September,16,240.94272,0.84245706,3.8902774
Xizang,April,16,586.6429,3.4107144,22.476814
Xizang,August,16,794.18823,4.6173735,21.915934
Xizang,December,16,83.461525,0.4852414,4.4826574
Xizang,February,15,161.62889,0.93970287,7.5736575
Xizang,January,16,135.52812,0.7879542,6.1040173
Xizang,July,16,723.39685,4.205796,19.481808
Xizang,June,16,748.8441,4.353745,27.98828
Xizang,March,16,311.45258,1.8107708,12.126431
Xizang,May,16,880.2081,5.1174893,31.907145
Xizang,November,16,82.342186,0.47873363,4.6678686
Xizang,October,16,401.7804,2.3359325,11.382669
Xizang,September,16,644.88745,3.7493455,12.988887
Yunnan,April,16,92.12407,1.588346,3.61226
Yunnan,August,16,530.52405,9.146966,12.06891
Yunnan,December,16,33.765236,0.5821592,1.9984932
Yunnan,February,15,40.47816,0.69789934,2.389311
Yunnan,January,16,49.72116,0.8572614,2.5720809
Yunnan,July,16,374.01846,6.448594,12.753223
Yunnan,June,16,664.5653,11.458022,24.383888
Yunnan,March,16,62.277252,1.0737457,3.5533502
Yunnan,May,16,225.44167,3.8869252,8.51919
Yunnan,November,16,47.7419,0.8231362,1.4750742
Yunnan,October,16,136.67197,2.3564131,4.20548
Yunnan,September,16,161.25177,2.7802029,5.9567485
Zhejiang,April,16,139.06895,9.933496,10.900885
Zhejiang,August,16,63.517464,4.5369616,5.056808
Zhejiang,December,16,41.692307,2.9780219,4.2566996
Zhejiang,February,15,59.429943,4.244996,4.5550413
Zhejiang,January,16,16.829615,1.2021153,1.521019
Zhejiang,July,16,80.23047,5.7307477,7.882395
Zhejiang,June,16,74.8748,5.3482003,7.7459993
Zhejiang,March,16,89.80808,6.414863,7.36422
Zhejiang,May,16,134.83298,9.630927,12.407563
Zhejiang,November,16,80.86784,5.7762747,6.9841347
Zhejiang,October,16,12.899125,0.9213661,1.0757966
Zhejiang,September,16,17.830719,1.2736228,1.8606309
